Date,Event,Citation
Pre-1947,Power plant commissioned by BC government,"Stoffman, D. (2017, December 29). <i>One damned River before another</i>. Retrieved March 01, 2021, from <a href='https://bcbooklook.com/2017/12/29/one-damned-river-before-another/'>https://bcbooklook.com/2017/12/29/one-damned-river-before-another/</a>"
1947,John Hart power plant and dam opened to the public,"Stoffman, D. (2017, December 29). <i>One damned River before another</i>. Retrieved March 01, 2021, from <a href='https://bcbooklook.com/2017/12/29/one-damned-river-before-another/'>https://bcbooklook.com/2017/12/29/one-damned-river-before-another/</a>"
2000,BC recognize Campbell river as a heritage site,"BC Hydro. (n.d.). <i>John Hart</i>. Retrieved March 01, 2021, from <a href='https://www.bchydro.com/community/recreation_areas/john_hart.html'>https://www.bchydro.com/community/recreation_areas/john_hart.html</a>"
2008,Plant starting to fall behind after 60 years of operation,"Annonymous, Courier - Islander. (2008, Jun 11).Open house to focus on john hart generating station replacement. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/open-house-focus-on-john-hart-generating-station/docview/358360971/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/open-house-focus-on-john-hart-generating-station/docview/358360971/se-2?accountid=9894</a>"
2013,BC hydro builds a musuem facility on site,"BC Hydro. (n.d.). <i>John Hart</i>. Retrieved March 01, 2021, from <a href='https://www.bchydro.com/community/recreation_areas/john_hart.html'>https://www.bchydro.com/community/recreation_areas/john_hart.html'>https://www.bchydro.com/community/recreation_areas/john_hart.html'>https://www.bchydro.com/community/recreation_areas/john_hart.html</a>"
2014,Contract for plant refurbishing completed and hashed out,"SNC Lavalin. (2019). <i>John Hart Generating STATION replacement project</i>. Retrieved March 01, 2021, from <a href='https://www.snclavalin.com/en/projects/john-hart'>https://www.snclavalin.com/en/projects/john-hart</a>"
2015,Delay in tunneling,"Kines, L. (2015, December 01). <i>Tunnelling problems delay Hart Dam project</i>. Retrieved March 01, 2021, from <a href='https://www.timescolonist.com/news/local/tunnelling-problems-delay-hart-dam-project-1.2122891'>https://www.timescolonist.com/news/local/tunnelling-problems-delay-hart-dam-project-1.2122891</a>"
2019,Plant replacement completed,"BC Hydro. (2019, January 7). <i>The lights are on at the new John Hart Generating Station</i>. Retrieved March 01, 2021, from <a href='https://www.bchydro.com/news/conservation/2019/john-hart-generating-station-in-service.html'>https://www.bchydro.com/news/conservation/2019/john-hart-generating-station-in-service.html</a>"
