Date,Event,Citation
2007,Caribou received 2 contracts. Construction on the Caribou facility began in the spring of 2008. ,"Site Description. (2017, July). ENGIE Canada Inc. Retrieved from <a href='https://engienawordpress.blob.core.windows.net/wordpress/2017/07/EngieCanadaCaribou.pdf'>https://engienawordpress.blob.core.windows.net/wordpress/2017/07/EngieCanadaCaribou.pdf</a>"
2009,The Caribou mountian wind park begins operations. ,"Caribou. (2019, October 19). New Brunswick Energy Institute. Retrieved from <a href='https://web.archive.org/web/20191013193851/https://www.nbenergyinstitute.ca/node/337'>https://web.archive.org/web/20191013193851/https://www.nbenergyinstitute.ca/node/337</a>"
2010,Suez energy who owns the Caribou mountain wind park shuts down 33 wind turbines because of ice.,"Ice halts northern N.B. wind farm. (2010, February 18). CBC News. Retrieved from <a href='https://www.cbc.ca/news/canada/new-brunswick/ice-halts-northern-n-b-wind-farm-1.911171'>https://www.cbc.ca/news/canada/new-brunswick/ice-halts-northern-n-b-wind-farm-1.911171</a>"
2012, ENGIE announced the sale of a 60% equity interest. ENGIE continues to oversee the operation of the facility.,"Site Description. (2017, July). ENGIE Canada Inc. Retrieved from <a href='https://engienawordpress.blob.core.windows.net/wordpress/2017/07/EngieCanadaCaribou.pdf'>https://engienawordpress.blob.core.windows.net/wordpress/2017/07/EngieCanadaCaribou.pdf</a>"
2018,Caribou Wind Farms’ portable metal roof shields workers from falling ice so they can access the turbine to resume operations.,"Froese, M. (2018, October 25). The cold, hard truth about ice on turbine blades. Retrieved from <a href='https://www.windpowerengineering.com/the-cold-hard-truth-about-ice-on-turbine-blades/'>https://www.windpowerengineering.com/the-cold-hard-truth-about-ice-on-turbine-blades/</a>"
2020,"10 wind turbines at Caribou Wind Park near Bathurst were damaged, 3 rendered inoperable","RCMP investigating damage at northern wind farm. (2020, May 19). CBC News. Retrieved from <a href='https://www.cbc.ca/news/canada/new-brunswick/caribou-wind-park-turbines-damaged-rcmp-1.5576111'>https://www.cbc.ca/news/canada/new-brunswick/caribou-wind-park-turbines-damaged-rcmp-1.5576111</a>"
