Date,Event,Citation
2000,A plan is conceived by Atlantic Wind Power Corporation,"Snow, M., Snow, R. (2018, February 13). The Ascent of Wind Power in Nova Scotia: Pubnico Point Wind Farm. Retrieved from <a href='https://www.iaras.org/iaras/home/caijres/the-ascent-of-wind-power-in-nova-scotia-pubnico-point-wind-farm'>https://www.iaras.org/iaras/home/caijres/the-ascent-of-wind-power-in-nova-scotia-pubnico-point-wind-farm</a>"
2003,"Creststreet Asset Management Limited announced their initial offering, it includes raising up to $40 million of investments in both Mount Copper and Pubnico Point.","Creststreet launches Canada's first Windpower flow-through fund. (2003, November 14). Canada Newswire. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/453333872/BB2C3D2D856A4AD9PQ/62?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/453333872/BB2C3D2D856A4AD9PQ/62?accountid=9894</a>"
2005,Grand opening of the wind farm.,"Wind Energy: Nova Scotia's First Wind Farm Opens (2005, May 26). Canada Newswire. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/453249064/F2D31CF78F9A43EBPQ/15?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/453249064/F2D31CF78F9A43EBPQ/15?accountid=9894</a>"
2005,The Federal government announces that it plans to invest at least $920 million into the use of wind power over the next 15 years.,"Wind Energy: Nova Scotia's First Wind Farm Opens (2005, May 26). Canada Newswire. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/453249064/F2D31CF78F9A43EBPQ/15?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/453249064/F2D31CF78F9A43EBPQ/15?accountid=9894</a>"
2008,The Pubnico Point Wind Farm project was purchased by NextEra Energy Canada.,"Allen, C. (2019, March 16). West Pubnico wind turbine destroyed by fire. Retrieved from <a href='https://www.saltwire.com/news/local/west-pubnico-wind-turbine-destroyed-by-fire-292653/?location=nova-scotia'>https://www.saltwire.com/news/local/west-pubnico-wind-turbine-destroyed-by-fire-292653/?location=nova-scotia</a>"
2019,"A turbine caught fire, burning everything possible in the nacelle. The top of the tower, and the blades were also destroyed.","Allen, C. (2019, March 16). West Pubnico wind turbine destroyed by fire. Retrieved from <a href='https://www.saltwire.com/news/local/west-pubnico-wind-turbine-destroyed-by-fire-292653/?location=nova-scotia'>https://www.saltwire.com/news/local/west-pubnico-wind-turbine-destroyed-by-fire-292653/?location=nova-scotia</a>"
