Date,Event,Citation
1925,Station was built,H20Power.(2020). <i>Island Falls Generating Station</i>. Retrieved from <a href='https://www.h2opower.com/locations/island-falls/'>https://www.h2opower.com/locations/island-falls/</a>
1996,Station was upgraded at 60Hz,H20Power.(2020). <i>Island Falls Generating Station</i>. Retrieved from <a href='https://www.h2opower.com/locations/island-falls/'>https://www.h2opower.com/locations/island-falls/</a>
2004-2014,Levels and flow governed under Abitibi River Water Management Plan.,H20Power.(2020). <i>Island Falls Generating Station</i>. Retrieved from <a href='https://www.h2opower.com/locations/island-falls/'>https://www.h2opower.com/locations/island-falls/</a>
2018,The unit rewound as one turbine was replaced.,H20Power.(2020). <i>Island Falls Generating Station</i>. Retrieved from <a href='https://www.h2opower.com/locations/island-falls/'>https://www.h2opower.com/locations/island-falls/</a>
