Date,Event,Citation
1980,Planning & construction,Tethys. (2020).<i> Annapolis Tidal Station</i>. OES-Environmental Metadata. Retrieved from <a href='https://tethys.pnnl.gov/project-sites/annapolis-tidal-station'>https://tethys.pnnl.gov/project-sites/annapolis-tidal-station</a> 
1984,Operation begins,Tethys. (2020).<i> Annapolis Tidal Station</i>. OES-Environmental Metadata. Retrieved from <a href='https://tethys.pnnl.gov/project-sites/annapolis-tidal-station'>https://tethys.pnnl.gov/project-sites/annapolis-tidal-station</a> 
2004,Humpback whale gets trapped,Tethys. (2020).<i> Annapolis Tidal Station</i>. OES-Environmental Metadata. Retrieved from <a href='https://tethys.pnnl.gov/project-sites/annapolis-tidal-station'>https://tethys.pnnl.gov/project-sites/annapolis-tidal-station</a> 
2007,Humpback whale dies,Tethys. (2020).<i> Annapolis Tidal Station</i>. OES-Environmental Metadata. Retrieved from <a href='https://tethys.pnnl.gov/project-sites/annapolis-tidal-station'>https://tethys.pnnl.gov/project-sites/annapolis-tidal-station</a> 
2015,Contract diver dies,The Canadian Press. (2015). <i> Contract diver dies while inspecting Nova Scotia Power tidal station</i>. The Canadian Press; Toronto. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/1697004587?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/1697004587?accountid=9894</a>
2019,operation ends,"Beswick, A. (2019). <i>DFO puts brakes on Annapolis Tidal Station</i>. Chronicle-Herald; Halifax. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2203764808/3C934AEC89F49F4PQ/1?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/canadiannews/docview/2203764808/3C934AEC89F49F4PQ/1?accountid=9894</a>"
2021,Aspirations to turn tidal station itno climate change research centre,"Thompson, A. (2021). <i>Group pitches idled Annapolis Royal tidal station as world-class climate change research centre</i>. The Chronicle Herald. Retrieved from <a href='https://www.thechronicleherald.ca/communities/annapolis-valley/group-pitches-idled-annapolis-royal-tidal-station-as-world-class-climate-change-research-centre-543525/'>https://www.thechronicleherald.ca/communities/annapolis-valley/group-pitches-idled-annapolis-royal-tidal-station-as-world-class-climate-change-research-centre-543525/</a> "
