Date,Event ,Citation
1977,surrounding sawmills shut down,"Silverwood, A. (2014). <i>From Paper to Power</i>. Canadian Biomass. Retrieved from <a href='https://www.canadianbiomassmagazine.ca/from-paper-to-power-4500/'>https://www.canadianbiomassmagazine.ca/from-paper-to-power-4500/</a>"
2007,"Mill earned first safety award marking 250,000 hours without recordable injury",Resolute Forest Products. (2021). Retrieved from <a href='https://www.resolutefp.com/Media/Visual_Materials/Operations/'>https://www.resolutefp.com/Media/Visual_Materials/Operations/</a>
2011,Project to install the condensing turbine was approved early 2011,Pulp and Paper Canada. (2013). <i>Resolute turns on turbine and green power at Thunder Bay</i>. Retrieved from <a href='https://www.pulpandpapercanada.com/resolute-turns-on-green-power-at-thunder-bay-1002316830/'>https://www.pulpandpapercanada.com/resolute-turns-on-green-power-at-thunder-bay-1002316830/</a>
2013,project officially inaugurated into mill,Pulp and Paper Canada. (2013). <i>Resolute turns on turbine and green power at Thunder Bay</i>. Retrieved from <a href='https://www.pulpandpapercanada.com/resolute-turns-on-green-power-at-thunder-bay-1002316830/'>https://www.pulpandpapercanada.com/resolute-turns-on-green-power-at-thunder-bay-1002316830/</a>
2013,Mayor of Thunder bay congratulated the mill on the innovation that exhibits their commitment to sustainability,Cision. (2013). <i>Resolute Officially Inaugurates Power Island Producing Green Energy at Thunder Bay Pulp and Paper Operation</i>. Retrieved from <a href='https://www.newswire.ca/news-releases/resolute-officially-inaugurates-power-island-producing-green-energy-at-thunder-bay-pulp-and-paper-operation-512412511.html'>https://www.newswire.ca/news-releases/resolute-officially-inaugurates-power-island-producing-green-energy-at-thunder-bay-pulp-and-paper-operation-512412511.html</a>
2018,"Mill then received its longest standing saftey award marking 1,500,000 hours of operation without recordable injury",Resolute Forest Products. (2021). Retrieved from <a href='https://www.resolutefp.com/Media/Visual_Materials/Operations/'>https://www.resolutefp.com/Media/Visual_Materials/Operations/</a>
