Date,Event ,Citation
1994,Station created to power a paper plant,"Chronicle-Herald. (1994). <i> Energy Centre to make steam from wood waste (Brooklyn Energy Centre, NS) </i>. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/docview/345297312/848C5B8AB9C444ADPQ/1?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/docview/345297312/848C5B8AB9C444ADPQ/1?accountid=9894</a>"
1995,Excess power diverted to to surrounding comunities,"Verge, Brittany. (2017). <i> Inside Brooklyn Energy</i> Retrieved from <a href='https://www.saltwire.com/business/inside-brooklyn-energy-85725/?location=nova-scotia'>https://www.saltwire.com/business/inside-brooklyn-energy-85725/?location=nova-scotia</a>"
1998,Energy plant plans to shut down,"Chronicle-Herald. (1994). <i> Energy Centre to make steam from wood waste (Brooklyn Energy Centre, NS) </i>. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/docview/345297312/848C5B8AB9C444ADPQ/1?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/docview/345297312/848C5B8AB9C444ADPQ/1?accountid=9894</a>"
1999,Finds buyer among creditor calls,Chronicle-Herald. (1999). <i> Brooklyn Energy finds buyer among creditors: plant employs 30 in Quens County</i>. Retrieved from <a href='https://search-proquest-com.proxy.library.carleton.ca/docview/345344751/848C5B8AB9C444ADPQ/8?accountid=9894'>https://search-proquest-com.proxy.library.carleton.ca/docview/345344751/848C5B8AB9C444ADPQ/8?accountid=9894</a>
2012,Emera Acquires Brooklyn Energy from government of Nova Scotia and is left to idle during off seasons,BuisnessWire. (2012). <i> Emera Acquires Brooklyn from Government of Nova Scotia</i>. Retrieved from <a href= 'https://www.saltwire.com/business/inside-brooklyn-energy-85725/?location=nova-scotia'>https://www.saltwire.com/business/inside-brooklyn-energy-85725/?location=nova-scotia</a>
