Date,Event,Citation
1950,Development begins,"Zavitz, S. (1999, Dec 17). <i>Second beck generating station powers up: [final edition]</i>. Niagara Falls Review Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/second-beck-generating-station-powers-up/docview/361374168/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/second-beck-generating-station-powers-up/docview/361374168/se-2?accountid=9894</a>"
1954,Station opens,"Zavitz, S. (1999, Dec 17). <i>Second beck generating station powers up: [final edition]</i>. Niagara Falls Review Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/second-beck-generating-station-powers-up/docview/361374168/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/second-beck-generating-station-powers-up/docview/361374168/se-2?accountid=9894</a>"
1965,Service interruption,"Pink, D. (2003, Aug 15). <i>It happened before - in 1965; for years after, people asked: 'what were you doing when the lights went out?': [final edition 2]</i>. The Record Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/happened-before-1965-years-after-people-asked/docview/267069310/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/happened-before-1965-years-after-people-asked/docview/267069310/se-2?accountid=9894</a>"
1995,Overhaul begins,"Larocque, C. (2005, Jun 04). <i>Beck overhaul revs up power production: [final edition]</i>. Niagara Falls Review Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/beck-overhaul-revs-up-power-production/docview/361361893/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/beck-overhaul-revs-up-power-production/docview/361361893/se-2?accountid=9894</a>"
1998,Bidding for tunnel expansion project opens,"Jennifer Quinn and, J. D. (1998, Apr 17). <i>Green light for new tunnel: Project will generate hundreds of jobs: [final edition]</i>. The Standard Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/green-light-new-tunnel-project-will-generate/docview/349211254/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/green-light-new-tunnel-project-will-generate/docview/349211254/se-2?accountid=9894</a>"
2005,Tunnel construction begins,"Canada NewsWire. (2005, Sep 14). <i>Ontario power generation begins niagara tunnel project</i>. Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/ontario-power-generation-begins-niagara-tunnel/docview/453230266/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/ontario-power-generation-begins-niagara-tunnel/docview/453230266/se-2?accountid=9894</a>"
2013,Tunnel expansion complete,"Spears, J. (2013, Mar 22). <i>Niagara hydro tunnel boosts power capacity: $1.6-billion project can produce enough energy to serve a small city</i>. Toronto Star Retrieved from <a href='https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/niagara-hydro-tunnel-boosts-power-capacity/docview/1318817228/se-2?accountid=9894'>https://proxy.library.carleton.ca/login?url=https://www-proquest-com.proxy.library.carleton.ca/newspapers/niagara-hydro-tunnel-boosts-power-capacity/docview/1318817228/se-2?accountid=9894</a>"
