Date,Event,Citation
2013,The construction is set to begin,"Overton, T. W. (2015, December 01). Blackspring Ridge Wind Project, Carmangay, Alberta. Retrieved from <a href='https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/'>https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/</a>"
2013,The construction was interrupted by the Polar Vortex,"Overton, T. W. (2015, December 01). Blackspring Ridge Wind Project, Carmangay, Alberta. Retrieved from <a href='https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/'>https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/</a>"
2014,project team energized the Traverse Switching Station and 240kv transmission line.,"Blackspring Ridge Project Update. (2013, April 10). Blackspring Ridge Liaison Committee. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-apr-2013.pdf'>https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-apr-2013.pdf</a>"
2014,The Blackspring Ridge substation was successfully energized.,"Blackspring Ridge Project Update. (2013, April 10). Blackspring Ridge Liaison Committee. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-apr-2013.pdf'>https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-apr-2013.pdf</a>"
2014,"project commercially operational on May 12, 2014.","Overton, T. W. (2015, December 01). Blackspring Ridge Wind Project, Carmangay, Alberta. Retrieved from <a href='https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/'>https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/</a>"
2015,Blackspring Ridge was given CanWEA’s 2015 Wind Energy Project Award,"Overton, T. W. (2015, December 01). Blackspring Ridge Wind Project, Carmangay, Alberta. Retrieved from <a href='https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/'>https://www.powermag.com/blackspring-ridge-wind-project-carmangay-alberta/</a>"
2015,project sound level is in compliance with the requirements,"Blackspring Ridge Project Update. (2016, July 12). Blackspring Ridge Liaison Committee. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-jul-2016.pdf'>https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-jul-2016.pdf</a>"
2016,Post construction monitoring of birds and bats is done by Stantec.,"Blackspring Ridge Project Update. (2016, July 12). Blackspring Ridge Liaison Committee. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-jul-2016.pdf'>https://www.edf-re.com/wp-content/uploads/blackspring-ridge-presentation-meeting-jul-2016.pdf</a>"
