Date ,Event,Citation
n/a,pre-construction,"Bourdeau, D. (2012). <i>Sunny Shores Solar Project Renewable Energy Approval Application Project Description Report</i>. Retrieved from <a href='https://www.yumpu.com/en/document/read/53842722/sunny-shores-solar-project</a>"
2012,Site Preparation,"Bourdeau, D. (2012). <i>Sunny Shores Solar Project Renewable Energy Approval (REA) Application Construction Plan Report</i>. Retrieved from <a href='https://www.yumpu.com/en/document/read/53842810/sunny-shores-solar-project'</a>"
2013,Construcion Phase,"Bourdeau, D. (2012). <i>Sunny Shores Solar Project Renewable Energy Approval (REA) Application Construction Plan Report</i>. Retrieved from <a href='https://www.yumpu.com/en/document/read/53842810/sunny-shores-solar-project'</a>"
2014,Operation,"Bourdeau, D. (2012). <i>Sunny Shores Solar Project Renewable Energy Approval Application Project Description Report</i>. Retrieved from <a href='https://www.yumpu.com/en/document/read/53842722/sunny-shores-solar-project</a>"
n/a,Decommissioning,"Bourdeau, D. (2012). <i>Sunny Shores Solar Project Renewable Energy Approval Application Project Description Report</i>. Retrieved from <a href='https://www.yumpu.com/en/document/read/53842722/sunny-shores-solar-project</a>"
