Date,Event,Citation
1992,Operation begin,Kagiano Power. (2010) <i>Kagiano Power</i>. Retrieved from <a href='www.kagianopower.com/'>www.kagianopower.com/</a> 
1998,Application to construct powerhouse,Kagiano Power. (2010) <i>Kagiano Power</i>. Retrieved from <a href='www.kagianopower.com/'>www.kagianopower.com/</a> 
2000,Construction was completed,Kagiano Power. (2010) <i>Kagiano Power</i>. Retrieved from <a href='www.kagianopower.com/'>www.kagianopower.com/</a> 
