Date,Event,Citation
2000,Calstock Biomass plant is built to address biomass problems experienced by local sawmills,"Ontario Ministry of the Enivironment, Conservation and Parks. (2020). <i> New Ash Disposal Site at Calstock Power Plant</i>. Retrieved from <a href= 'https://www.ontario.ca/page/new-ash-disposal-site-calstock-power-plant'</a>"
2015,Atlantic Power Limited Partnership submitted a terms of reference to the Ontario government to request a new waste disposal system site at Calstock,"Ontario Ministry of the Enivironment, Conservation and Parks. (2020). <i> New Ash Disposal Site at Calstock Power Plant</i>. Retrieved from <a href= 'https://www.ontario.ca/page/new-ash-disposal-site-calstock-power-plant'</a>"
2015,Ontario Government approves the waste Disposal site,"Ontario Ministry of the Enivironment, Conservation and Parks. (2020). <i> New Ash Disposal Site at Calstock Power Plant</i>. Retrieved from <a href= 'https://www.ontario.ca/page/new-ash-disposal-site-calstock-power-plant'</a>"
2020,Calstock power purchase plan is renewed until 16th December 2020,"Grech, R. (2020). <i> Uncertain future for biomass plant near hearst</i>. Retrieved from <a href= 'https://www.timminspress.com/news/local-news/uncertain-future-for-biomass-plant-near-hearst'</a>"
2020,Power purchase plan is extended until december 2021,"Grech, R. (2020). <i> Uncertain future for biomass plant near hearst</i>. Retrieved from <a href= 'https://www.timminspress.com/news/local-news/uncertain-future-for-biomass-plant-near-hearst'</a>"
2021,Calstock Productivity is diminished due to reduced demand for electricity amdist COVID-19 pandemic,Bioenergy Insight. (2020). <i> PPA extension for Atlantic Power's Calstock biomass plant </i>. Retrieved from <a href='https://www.bioenergy-news.com/news/ppa-extension-for-atlantic-powers-calstock-biomass-plant/</a>
