Date,Event,Citation
2011,Received a Feed-in-Tariff contract ,"Niagara Region Wind Corporation Selects Turbine Manufacturer; Enercon Will Bring Turbine Manufacturing to Niagara Region. (2011, September 27). Niagara Region Wind Corporation. Retrieved from <a Href='https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/niagara-region-wind-corporation-selects-turbine/docview/894184587/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/niagara-region-wind-corporation-selects-turbine/docview/894184587/se-2?accountid=9894</a>"
2011,The Niagara Region Wind Corporation held Public meetings ,"Project Update Meeting for the Niagara Region Wind Farm. (2012, September 20). Niagara Region Wind Corporation. Retrieved from <a href='https://www.boralex.com/uploads/NRWC-Panels-2012Sept20_LowRes.pdf'>https://www.boralex.com/uploads/NRWC-Panels-2012Sept20_LowRes.pdf</a>"
2013,Construction of the Niagara region wind farm commences,"Niagara Region Wind Farm Project Description Report. (2013, April). Stantec Consulting Ltd.. Retrieved from <a href='https://www.boralex.com/uploads/PDR_01_MainReport_201312.pdf'>https://www.boralex.com/uploads/PDR_01_MainReport_201312.pdf</a>"
2016,The wind farm was commissioned.,"Niagara Region Wind Corporation Selects Turbine Manufacturer; Enercon Will Bring Turbine Manufacturing to Niagara Region. (2011, September 27). Canada Newswire. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/niagara-region-wind-corporation-selects-turbine/docview/894184587/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/wire-feeds/niagara-region-wind-corporation-selects-turbine/docview/894184587/se-2?accountid=9894</a>"
2016,20-year power purchase agreement with Ontario's Independent Electricity System Operator (IESO) ,"Froese, M. (2011, September 27). Ontario’s Niagara Region Wind Farm inaugurated as part of Global Wind Day. Retrieved from <a href='https://www.windpowerengineering.com/ontarios-niagara-region-wind-farm-inaugurated-part-global-wind-day/'>https://www.windpowerengineering.com/ontarios-niagara-region-wind-farm-inaugurated-part-global-wind-day/</a>"
2018,Raptor death rates exceed industry standards.,"Niagara Region Wind Farm 2018 Bird & Bat Mortality Monitoring. (2018, November). Natural Resource Solutions Inc. Retrieved from <a href='https://www.boralex.com/uploads/NRSI_1865B_Niagara%20Region%20WF_2018%20Mortality%20Monitoring%20Fact%20Sheet_2019-03-05.pdf'>https://www.boralex.com/uploads/NRSI_1865B_Niagara%20Region%20WF_2018%20Mortality%20Monitoring%20Fact%20Sheet_2019-03-05.pdf</a>"
2019,Modifications to the Environmental Effects Monitoring,"Modification to Environmental Effects Monitoring Plan for the Niagara Region Wind Farm. (2019, January 7). Boralex Inc.. Retrieved from <a href='https://www.boralex.com/uploads/20190107%20FWRN%20Modification%20of%20EEMP.pdf'>https://www.boralex.com/uploads/20190107%20FWRN%20Modification%20of%20EEMP.pdf</a>"
2034,Repowering/Decommission  is expected.,"Niagara Region Wind Farm Project Description Report. (2013, April). Niagara Region Wind Corporation. Retrieved from <a href='https://www.boralex.com/uploads/PDR_01_MainReport_201312.pdf'>https://www.boralex.com/uploads/PDR_01_MainReport_201312.pdf</a>"
