Date,Event,Citation
1930,Established the power plant along the Abitibi River,Toronto Public Library. (2021). <i> Abitibi canyon (Ont.)' search results for Toronto public library</i>. Retrieved from <a href='https://www.torontopubliclibrary.ca/search.jsp;jsessionid=4m2txhIw30IV+2OA3mbmFTtb.tplapp-p-2b?Ntt=Abitibi+Canyon+(Ont.)&Ntk=Subject_Search_Interface&view=grid&Erp=20'>https://www.torontopubliclibrary.ca/search.jsp;jsessionid=4m2txhIw30IV+2OA3mbmFTtb.tplapp-p-2b?Ntt=Abitibi+Canyon+(Ont.)&Ntk=Subject_Search_Interface&view=grid&Erp=20</a>
1933,Construction started,Our Ontario. (2021). <i>Abitibi canyon hydroelectric generating station Canada - GEO. Global Energy Observatory: Information on Global Energy Systems and Infrastructure</i>. Retrieved from <a href='https://globalenergyobservatory.org/geoid/1974'>https://globalenergyobservatory.org/geoid/1974</a>
1936,Production of 68.8MW of energy were added for productivity boost,Our Ontario. (2021). <i>Abitibi canyon hydroelectric generating station Canada - GEO. Global Energy Observatory: Information on Global Energy Systems and Infrastructure</i>. Retrieved from <a href='https://globalenergyobservatory.org/geoid/1974'>https://globalenergyobservatory.org/geoid/1974</a>
1959,Further construction and adjustments,Our Ontario. (2021). <i>Abitibi canyon hydroelectric generating station Canada - GEO. Global Energy Observatory: Information on Global Energy Systems and Infrastructure</i>. Retrieved from <a href='https://globalenergyobservatory.org/geoid/1974'>https://globalenergyobservatory.org/geoid/1974</a>
1982,Community expanded and other renewable energy helped long-term,Our Ontario. (2021). <i>Abitibi canyon hydroelectric generating station Canada - GEO. Global Energy Observatory: Information on Global Energy Systems and Infrastructure</i>. Retrieved from <a href='https://globalenergyobservatory.org/geoid/1974'>https://globalenergyobservatory.org/geoid/1974</a>
2020,Project remains active,Our Ontario. (2021). <i>Abitibi canyon hydroelectric generating station Canada - GEO. Global Energy Observatory: Information on Global Energy Systems and Infrastructure</i>. Retrieved from <a href='https://globalenergyobservatory.org/geoid/1974'>https://globalenergyobservatory.org/geoid/1974</a>
