Date,Event,Citation
2016,Independent Electricity System operator selected Ontario Power Group to build the Nanticoke Solar Project,Ontario Power Generation Inc. (2021). <i>Nanticoke Solar Project Completed on Budget and on Schedule</i>. CISION. Retrieved from <a href='https://www.newswire.ca/news-releases/nanticoke-solar-project-completed-on-budget-and-on-schedule-860728085.html'>https://www.newswire.ca/news-releases/nanticoke-solar-project-completed-on-budget-and-on-schedule-860728085.html</a>
2018,PCL Construction given the construction contract to build Nanticoke Solar project,Ontario Power Generation Inc. (2021). <i>Nanticoke Solar Project Completed on Budget and on Schedule</i>. CISION. Retrieved from <a href='https://www.newswire.ca/news-releases/nanticoke-solar-project-completed-on-budget-and-on-schedule-860728085.html'>https://www.newswire.ca/news-releases/nanticoke-solar-project-completed-on-budget-and-on-schedule-860728085.html</a>
2019,Given supply contract for photovoltaic solar panels and racking system,Ontario Power Generation Inc. (2021). <i>Nanticoke Solar Project Completed on Budget and on Schedule</i>. CISION. Retrieved from <a href='https://www.newswire.ca/news-releases/nanticoke-solar-project-completed-on-budget-and-on-schedule-860728085.html'>https://www.newswire.ca/news-releases/nanticoke-solar-project-completed-on-budget-and-on-schedule-860728085.html</a>
