Date,Event,Citation
2015,Commencement of environmental field studies and municipal permitting,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2015,First community open house. Approval of the Alberta Electric System Operator application to build the Project within the existing Blackspring Ridge Wind Project site.,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2016,Submission of AUC application,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2016,Final engineering study complete,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2017,Final investment decision. Anticipated approval of the AUC application.,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2017,Phase 1: Site mobilization,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2017,Phase 1: Commercial operation,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2018,Phase 2: Anticipated Site mobilization,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
2018,Phase 2: Anticipated Commercial operation,"VULCAN. (2016). <i>solar project</i>. Carmangay, Alberta. Retrieved from <a href='https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf'>https://www.edf-re.com/wp-content/uploads/Vulcan-brochure-5-2016-FINAL-bleeds-crops.pdf</a>"
