Date,Event,Citation
2008,The first phase of construction began ,TransAlta Corporation. (n.d.). Kent Hills. Retrieved from <a href='https://www.transalta.com/plants-operation/kent-hills'>https://www.transalta.com/plants-operation/kent-hills</a>
2008,The first phase of construction was completed.,TransAlta Corporation. (n.d.). Kent Hills. Retrieved from <a href='https://www.transalta.com/plants-operation/kent-hills'>https://www.transalta.com/plants-operation/kent-hills</a>
2009,Kent Hills Wind Farm suffered a fire on one of its turbines.,"Huras, A. (2009, August 11). Kent Hills Wind Farm's Output Cut by Turbine Fire; Energy TransAlta to Lose Several Weeks of Electricity Generation as a Result of Blaze.. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/newspapers/kent-hills-wind-farms-output-cut-turbine-fire/docview/423361733/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/newspapers/kent-hills-wind-farms-output-cut-turbine-fire/docview/423361733/se-2?accountid=9894</a>"
2009,Repairs for the damaged turbine in the fire had commenced.,"Lewis, E. (2009, September 22). Wind Farm Turbine Repairs Begin This Week; Investigation Ongoing to Determine Cause of Fire that Damaged Kent Hills Turbine. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/newspapers/wind-farm-turbine-repairs-begin-this-week/docview/423029730/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/newspapers/wind-farm-turbine-repairs-begin-this-week/docview/423029730/se-2?accountid=9894</a>"
2010,The second phase of construction began,"Huras, A. (2010, January 12). Wind Farm to Grow; Energy: Researcher Questions Economics of 54 MW Expansion Announced For Kent Hills Facility.. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/newspapers/wind-farm-grow-energy-researcher-questions/docview/423350105/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/newspapers/wind-farm-grow-energy-researcher-questions/docview/423350105/se-2?accountid=9894</a>"
2010,The second phase of construction was completed,TransAlta. (n.d.). Kent Hills. Retrieved from <a href='https://www.transalta.com/plants-operation/kent-hills'>https://www.transalta.com/plants-operation/kent-hills</a>
2017,Phase 3 of construction was announced to expand Kent Hills,"Petrova, V. (2018, October 22). TransAlta Expands New Brunswick Wind Farm to 167 MW. Retrieved from <a href='https://renewablesnow.com/news/transalta-expands-new-brunswick-wind-farm-to-167-mw-630665/'>https://renewablesnow.com/news/transalta-expands-new-brunswick-wind-farm-to-167-mw-630665/</a>"
2018,The third phase of construction began ,TransAlta. (n.d.). Kent Hills. Retrieved from <a href='https://www.transalta.com/plants-operation/kent-hills'>https://www.transalta.com/plants-operation/kent-hills</a>
2018,The third phase of construction was completed,TransAlta. (n.d.). Kent Hills. Retrieved from <a href='https://www.transalta.com/plants-operation/kent-hills'>https://www.transalta.com/plants-operation/kent-hills</a>
