Date,Event,Citation
Jul-67,Construction started,"Marsh, J. H. (2006, February 6). Churchill falls. Retrieved March 01, 2021, from https://www.thecanadianencyclopedia.ca/en/article/churchill-falls"
1969,BRINCO agreed a contract to sell the power plant’s energy to Hydro Quebec,"FEEHAN, J. (2009). THE CHURCHILL FALLS CONTRACT: WHAT HAPPENED AND WHAT’S TO COME? Retrieved February 28, 2021, from https://www.mun.ca/harriscentre/policy/memorialpresents/2008c/NQ_article_Vol_101_No_4.pdf"
Dec-71,The first two units of Churchill Falls began generating power.,"Marsh, J. H. (2006, February 6). Churchill falls. Retrieved March 01, 2021, from https://www.thecanadianencyclopedia.ca/en/article/churchill-falls"
1974,Churchill Falls power station began full-scale energy generation.,"Marsh, J. H. (2006, February 6). Churchill falls. Retrieved March 01, 2021, from https://www.thecanadianencyclopedia.ca/en/article/churchill-falls"
1984,Newfoundland was unhappy as energy costs soared in the 1980s,"Marsh, J. H. (2006, February 6). Churchill falls. Retrieved March 01, 2021, from https://www.thecanadianencyclopedia.ca/en/article/churchill-falls"
Mar-98,Newfoundland made a deal with Quebec to develop a new hydroelectric project ,"Marsh, J. H. (2006, February 6). Churchill falls. Retrieved March 01, 2021, from https://www.thecanadianencyclopedia.ca/en/article/churchill-falls"
18-Nov,The Supreme Court of Canada force Quebec to renegotiate the contract before 2041,"Harris, K. (2018, November 02). Supreme court Rejects Churchill FALLS Corp.'s bid to Reopen energy deal with hydro-québec | CBC News. Retrieved March 01, 2021, from https://www.cbc.ca/news/politics/churchill-falls-hydro-quebec-supreme-court-1.4888321"
