Date,Event,Citation
1985,began its operations as a coal fired station,Wikipedia. (2020) <i>Atikokan generating Station</i>. <a href= https://en.wikipedia.org/wiki/Atikokan_Generating_Station</a>
2003,Experienced comprehensive reform,Wikipedia. (2020) <i>Atikokan generating Station</i>. <a href= https://en.wikipedia.org/wiki/Atikokan_Generating_Station</a>
2012,"Had one coal-fueled generating unit, used low nitrogen oxide burners, underwent reonvations",Wikipedia. (2020) <i>Atikokan generating Station</i>. <a href= https://en.wikipedia.org/wiki/Atikokan_Generating_Station</a>
2014,Became fully renewable energy source in the act of fighting climate change,Wikipedia. (2020) <i>Atikokan generating Station</i>. <a href= https://en.wikipedia.org/wiki/Atikokan_Generating_Station</a>
