Date,Event,Citation
2004,Corporation founded,"Muhummad, N. (2009, August 24). Schneider Power sells majority interest in Ontario wind developments. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/docview/868260621/16F31D2041774D57PQ/2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/docview/868260621/16F31D2041774D57PQ/2?accountid=9894</a>"
2012,Two companies amalgamated in Canada into Greta Energy Inc.,Greta energy - Greta energy. (n.d.). Greta Energy Inc. Retrieved from <a href='http://gretaenergy.com/'>http://gretaenergy.com/</a>
2012,Commercial Operation of Grand Valley Phase 1 & 2,GRAND VALLEY I & II wind project. (2021). Canadian Projects Limited. Retrieved from <a href='https://canprojects.com/projects/wind/grand-valley/'>https://canprojects.com/projects/wind/grand-valley/</a>
2015,Commercial Operation of Grand Valley Phase 3,GRAND VALLEY III wind project. (2021). Canadian Projects Limited. Retrieved from <a href='https://canprojects.com/projects/wind/grand-valley-iii/'>https://canprojects.com/projects/wind/grand-valley-iii/</a>
2015,Two wind energy phases developments: 22-MW first phase and 28-MW second phase,Greta energy - Greta energy. (n.d.). Greta Energy Inc. Retrieved from <a href='http://gretaenergy.com/'>http://gretaenergy.com/</a>
2017,Last wind data and evaluation for current project in development,Our project in development. (n.d.). Greta Energy Inc. Retrieved from <a href='http://gretaenergy.com/our-projects/estonia'>http://gretaenergy.com/our-projects/estonia</a>
