Date,Event,Citation
2012,Shadow Flicker Assessment,"AECOM. (2012, April). Shadow Flicker Assessment. Retrieved from <a href='https://www.cordeliopower.com/wp-content/uploads/2018/06/Shadow_Flicker_Report_Main_Body.pdf'>https://www.cordeliopower.com/wp-content/uploads/2018/06/Shadow_Flicker_Report_Main_Body.pdf</a>"
2012,Final Water Assessment and Water Body Report,"AECOM. (2012, June 25). Final Water Assessment and Water Body Report. Retrieved from <a href='https://www.cordeliopower.com/wp-content/uploads/2018/06/02ra_2012_06_25_BWAquatic_Final_01Report.pdf'>https://www.cordeliopower.com/wp-content/uploads/2018/06/02ra_2012_06_25_BWAquatic_Final_01Report.pdf</a>"
2012,Final Wind Turbine Specification Report,"AECOM. (2012, June 26). Final Wind Turbine Specification Report. Retrieved from <a href='https://www.cordeliopower.com/wp-content/uploads/2018/06/TurbineSpecs_2_2012_06_26.pdf'>https://www.cordeliopower.com/wp-content/uploads/2018/06/TurbineSpecs_2_2012_06_26.pdf</a>"
2012,Final Design and Operations on Bluewater Wind Project,"AECOM. (2012, June 26). Final Design and Operations on Bluewater Wind Project. Retrieved from <a href='https://www.cordeliopower.com/wp-content/uploads/2018/06/DesigOps_2012_06_26_1_01_Report.pdf'>https://www.cordeliopower.com/wp-content/uploads/2018/06/DesigOps_2012_06_26_1_01_Report.pdf</a>"
2012,Operations Building,"AECOM. (2012, June 26). Operations Building. Retrieved from <a href='https://www.cordeliopower.com/wp-content/uploads/2018/06/PDR_2012_06_26.pdf'>https://www.cordeliopower.com/wp-content/uploads/2018/06/PDR_2012_06_26.pdf</a>"
2015,Bird and Bat Monitoring,Natural Resource Solutions Inc. (2015). Bird and Bat Monitoring. Retrieved from <a href='https://www.cordeliopower.com/wp-content/uploads/2018/06/Bluewater2015BirdBatMonitoringSummary.pdf'>https://www.cordeliopower.com/wp-content/uploads/2018/06/Bluewater2015BirdBatMonitoringSummary.pdf</a>
