Date,Event,Citation
2019,First open house held,"Hale, A. S. (2019, July 06). First open house held for nation rise wind farm. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/newspapers/first-open-house-held-nation-rise-wind-farm/docview/2254437654/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/newspapers/first-open-house-held-nation-rise-wind-farm/docview/2254437654/se-2?accountid=9894</a>"
2019,Wind Farm permit revoked,"Gray, J., McClearn, M. & Kathryn, B. B. (2019, December). Ontario faces court challenge over wind-farm’s cancellation. Retrieved from <a href='https://www.theglobeandmail.com/canada/article-ontario-faces-court-challenge-over-wind-farms-cancellation/'>https://www.theglobeandmail.com/canada/article-ontario-faces-court-challenge-over-wind-farms-cancellation/</a>"
2020,Received re-approval,"Santos, J. (2020, July 10). Nation rise granted approval to continue. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/newspapers/nation-rise-granted-approval-continue/docview/2422290420/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/newspapers/nation-rise-granted-approval-continue/docview/2422290420/se-2?accountid=9894</a>"
2021,Wind farm nearing completion,"Haworth, J. (2021, February 26). Nation rise wind farm nearing completion. Retrieved from <a href='https://www-proquest-com.proxy.library.carleton.ca/newspapers/nation-rise-wind-farm-nearing-completion/docview/2493731775/se-2?accountid=9894'>https://www-proquest-com.proxy.library.carleton.ca/newspapers/nation-rise-wind-farm-nearing-completion/docview/2493731775/se-2?accountid=9894</a>"
